antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
JobRole:Sales Executive,"Department:Sales, cluster:0",0.2217687074829932,0.2537414965986395,0.2054421768707483,0.9263803680981595,3.6508824158292073,1.0,0.14917025313526772,10.136678004535144,0.9330049089982865,0.7607052896725439,0.9013483510522283,0.8680159213144953
Department:Sales,"JobRole:Sales Executive, cluster:0",0.3034013605442177,0.2054421768707483,0.2054421768707483,0.6771300448430494,3.295964125560538,1.0,0.14311074089499748,2.460922146636433,1.0,0.6771300448430493,0.5936482584925364,0.8385650224215246
JobRole:Sales Executive,"Department:Sales, OverTime:No",0.2217687074829932,0.2163265306122449,0.15782312925170067,0.7116564417177913,3.289732607940733,1.0,0.10984867416354295,2.7178462874511493,0.8943664094526164,0.5631067961165048,0.6320616053169733,0.720608095072732
JobRole:Research Scientist,"Department:Research & Development, cluster:1",0.19863945578231293,0.4340136054421769,0.17687074829931973,0.8904109589041096,2.0515738394812555,1.0,0.09065852191216622,5.164625850340137,0.6396238735797309,0.38805970149253727,0.8063751317175974,0.6489672349379483
JobRole:Sales Executive,"RelationshipSatisfaction:alta, cluster:0",0.2217687074829932,0.2789115646258503,0.1251700680272109,0.5644171779141105,2.023642076911567,1.0,0.06331621083807673,1.6554565488167101,0.6499885983581636,0.3333333333333334,0.3959370297488136,0.5065988328594944
"Gender:Male, JobRole:Sales Executive",cluster:0,0.13197278911564625,0.49863945578231295,0.13197278911564625,1.0,2.005457025920873,1.0,0.06616594937294645,inf,0.5775862068965517,0.26466575716234647,1.0,0.6323328785811733
"Department:Sales, MaritalStatus:Married",cluster:0,0.1401360544217687,0.49863945578231295,0.13537414965986394,0.9660194174757281,1.9373104279526878,1.0,0.0654967837475126,14.754324586977607,0.5626709496851344,0.2689189189189189,0.9322232614509094,0.6187532285195829
"EnvironmentSatisfaction:alta, JobRole:Sales Executive",cluster:0,0.12993197278911564,0.49863945578231295,0.12380952380952381,0.9528795811518326,1.9109590508774814,1.0,0.0590203156092369,10.639984882842052,0.5478911237316242,0.24528301886792456,0.9060149040613215,0.6005871302757799
"JobRole:Sales Executive, OverTime:No",cluster:0,0.15782312925170067,0.49863945578231295,0.14829931972789115,0.9396551724137931,1.8844380674601309,1.0,0.0696024804479615,8.308260447035963,0.5572912806983742,0.2918340026773762,0.8796378608524775,0.6185315425506892
"Department:Sales, Gender:Male",cluster:0,0.17482993197278912,0.49863945578231295,0.16394557823129252,0.9377431906614786,1.880603670221519,1.0,0.07676847609792216,8.053103741496598,0.5674658694023597,0.32176234979973295,0.8758242744536955,0.6332645011970421
"Department:Research & Development, MaritalStatus:Single",cluster:1,0.20680272108843537,0.501360544217687,0.1945578231292517,0.9407894736842106,1.8764728986645722,1.0,0.09087509833865522,8.421466364323521,0.588863966222457,0.37880794701986764,0.8812558339915274,0.664424587588374
JobRole:Sales Executive,cluster:0,0.2217687074829932,0.49863945578231295,0.2054421768707483,0.9263803680981595,1.8578160178776186,1.0,0.09485954926188163,6.810147392290247,0.5933114898346686,0.3989431968295905,0.8531603000058269,0.6691929125620402
"Department:Sales, JobRole:Sales Executive",cluster:0,0.2217687074829932,0.49863945578231295,0.2054421768707483,0.9263803680981595,1.8578160178776186,1.0,0.09485954926188163,6.810147392290247,0.5933114898346686,0.3989431968295905,0.8531603000058269,0.6691929125620402
"JobRole:Sales Executive, JobSatisfaction:alta",cluster:0,0.1380952380952381,0.49863945578231295,0.12789115646258503,0.9261083743842363,1.857270546173025,1.0,0.05903142209264657,6.785079365079353,0.5355295638885623,0.25133689839572193,0.8526177887989517,0.5912942963326366
"BusinessTravel:Travel_Rarely, JobRole:Sales Executive",cluster:0,0.15510204081632653,0.49863945578231295,0.1435374149659864,0.9254385964912282,1.8559273353916854,1.0,0.06619741774260725,6.724129651860753,0.5458479291160107,0.2813333333333333,0.8512818681711064,0.6066483569086427
"JobRole:Sales Executive, WorkLifeBalance:alta",cluster:0,0.1619047619047619,0.49863945578231295,0.14965986394557823,0.9243697478991596,1.8537838054730758,1.0,0.0689277615808228,6.629100529100524,0.549535123966942,0.2929427430093209,0.8491499720648095,0.6122530867735907
"JobRole:Sales Executive, RelationshipSatisfaction:alta",cluster:0,0.1360544217687075,0.49863945578231295,0.1251700680272109,0.92,1.8450204638472032,1.0,0.05732796519968532,6.267006802721092,0.5301266689489901,0.24566088117489984,0.8404341926729987,0.5855115961800819
"JobInvolvement:alta, JobRole:Sales Executive",cluster:0,0.1523809523809524,0.49863945578231295,0.1401360544217687,0.9196428571428571,1.8443042291950884,1.0,0.06415289925494007,6.239153439153435,0.5400894512926803,0.2743009320905459,0.8397218453188602,0.6003398460339116
JobRole:Sales Executive,"WorkLifeBalance:alta, cluster:0",0.2217687074829932,0.36666666666666664,0.14965986394557823,0.6748466257668712,1.8404907975460123,1.0,0.06834467120181406,1.9477987421383647,0.5868006993006993,0.34108527131782945,0.4865999354213756,0.5415049455364969
JobRole:Sales Executive,"JobSatisfaction:alta, cluster:0",0.2217687074829932,0.31360544217687075,0.12789115646258503,0.5766871165644172,1.8388938424071437,1.0,0.058343282891387835,1.6214827960169573,0.5861943907156673,0.3138564273789649,0.38328053652100424,0.4922481135967422
JobRole:Research Scientist,"JobInvolvement:alta, cluster:1",0.19863945578231293,0.3401360544217687,0.12380952380952381,0.6232876712328768,1.8324657534246578,1.0,0.056245083067240506,1.7516388373531235,0.5668949047556857,0.2983606557377049,0.4291060584663184,0.49364383561643843
